ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
1.644913153553109915e-03,-3.164719263840094169e-03,1.451854827165968587e+01
1.636954534724315968e-03,-3.168967675200549516e-03,1.444232421293812152e+01
1.629027262941843118e-03,-3.173174231454250691e-03,1.436650027674838270e+01
1.621131332867237077e-03,-3.177339336040196482e-03,1.429107436277742416e+01
1.613266736803843334e-03,-3.181463388886225131e-03,1.421604438173243246e+01
1.605433464743796475e-03,-3.185546786431304230e-03,1.414140825528344614e+01
1.597631504414295670e-03,-3.189589921647868753e-03,1.406716391600622806e+01
1.589860841323170433e-03,-3.193593184064221543e-03,1.399330930732542022e+01
1.582121458803744914e-03,-3.197556959786968054e-03,1.391984238345791525e+01
1.574413338059013710e-03,-3.201481631523492733e-03,1.384676110935655302e+01
1.566736458205136373e-03,-3.205367578604473994e-03,1.377406346065402509e+01
1.559090796314254726e-03,-3.209215177006409167e-03,1.370174742360708997e+01
1.551476327456653790e-03,-3.213024799374181520e-03,1.362981099504102112e+01
1.543893024742264836e-03,-3.216796815043632910e-03,1.355825218229435691e+01
1.536340859361520284e-03,-3.220531590064141646e-03,1.348706900316389756e+01
1.528819800625573922e-03,-3.224229487221220297e-03,1.341625948584997552e+01
1.521329816005892064e-03,-3.227890866059103525e-03,1.334582166890201016e+01
1.513870871173225848e-03,-3.231516082903337656e-03,1.327575360116432179e+01
1.506442930035966190e-03,-3.235105490883357238e-03,1.320605334172221212e+01
1.499045954777902204e-03,-3.238659439955061600e-03,1.313671895984833071e+01
1.491679905895378338e-03,-3.242178276923350210e-03,1.306774853494929722e+01
1.484344742233869056e-03,-3.245662345464668443e-03,1.299914015651261145e+01
1.477040421023970672e-03,-3.249111986149502609e-03,1.293089192405380494e+01
1.469766897916821580e-03,-3.252527536464855894e-03,1.286300194706389632e+01
1.462524127018962391e-03,-3.255909330836696987e-03,1.279546834495707763e+01
1.455312060926637271e-03,-3.259257700652357960e-03,1.272828924701870790e+01
1.448130650759545590e-03,-3.262572974282908732e-03,1.266146279235354477e+01
1.440979846194060353e-03,-3.265855477105475586e-03,1.259498712983424795e+01
1.433859595495904542e-03,-3.269105531525518492e-03,1.252886041805016148e+01
1.426769845552304863e-03,-3.272323456999057679e-03,1.246308082525634475e+01
1.419710541903630718e-03,-3.275509570054846008e-03,1.239764652932286815e+01
1.412681628774517962e-03,-3.278664184316487564e-03,1.233255571768438941e+01
1.405683049104489808e-03,-3.281787610524494660e-03,1.226780658728996443e+01
1.398714744578080519e-03,-3.284880156558285438e-03,1.220339734455314051e+01
1.391776655654468385e-03,-3.287942127458109900e-03,1.213932620530229478e+01
1.384868721596629708e-03,-3.290973825446926945e-03,1.207559139473123899e+01
1.377990880500009653e-03,-3.293975549952182520e-03,1.201219114735008198e+01
1.371143069320729293e-03,-3.296947597627547001e-03,1.194912370693633896e+01
1.364325223903326651e-03,-3.299890262374553709e-03,1.188638732648630025e+01
1.357537279008044556e-03,-3.302803835364177126e-03,1.182398026816666814e+01
1.350779168337663773e-03,-3.305688605058316586e-03,1.176190080326641407e+01
1.344050824563896391e-03,-3.308544857231218370e-03,1.170014721214892006e+01
1.337352179353344011e-03,-3.311372874990793289e-03,1.163871778420434744e+01
1.330683163393016170e-03,-3.314172938799865749e-03,1.157761081780227208e+01
1.324043706415439390e-03,-3.316945326497332171e-03,1.151682462024454878e+01
1.317433737223327322e-03,-3.319690313319219235e-03,1.145635750771843675e+01
1.310853183713859725e-03,-3.322408171919669258e-03,1.139620780524996846e+01
1.304301972902539462e-03,-3.325099172391822802e-03,1.133637384665754944e+01
1.297780030946653774e-03,-3.327763582288604562e-03,1.127685397450581739e+01
1.291287283168344796e-03,-3.330401666643428588e-03,1.121764654005974293e+01
1.284823654077284780e-03,-3.333013687990788593e-03,1.115874990323895055e+01
1.278389067392969028e-03,-3.335599906386762376e-03,1.110016243257229895e+01
