accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.001553561379151747e+00,8.220163463081026078e-01,-9.790269388759021751e+00
1.005454008845856562e+00,8.403104768214794129e-01,-9.796279835290192750e+00
9.827545595893205643e-01,8.157076785642227712e-01,-9.792551344709501393e+00
1.000109212845409434e+00,8.469578810434558180e-01,-9.795783630180103785e+00
9.999216617636578208e-01,8.355018720235147800e-01,-9.789388407040075180e+00
1.001766922468579013e+00,8.323760009109387736e-01,-9.794855022842577696e+00
1.005511934722106204e+00,8.260270865233975135e-01,-9.801768635946412900e+00
1.001052466721957801e+00,8.236867484245659066e-01,-9.784165984878248068e+00
9.958954698257281857e-01,8.118088616470945373e-01,-9.784568083398683669e+00
9.862468071257628477e-01,8.289772121690993645e-01,-9.791963805014372468e+00
9.869896182474052759e-01,8.070665934749103876e-01,-9.793375607784092551e+00
9.919155740716487646e-01,8.323490375721626089e-01,-9.798233933765731152e+00
9.933698652387339401e-01,8.245114109882263342e-01,-9.784725929602151595e+00
1.006065867862414365e+00,8.202251468680663571e-01,-9.788786921355962178e+00
9.997405302261802573e-01,8.200159788767580338e-01,-9.805939125834932213e+00
1.007949004687181516e+00,8.209009758453628125e-01,-9.797320304032901106e+00
1.003766594691232861e+00,8.264493128224841278e-01,-9.793141698648502924e+00
9.945304010203871448e-01,8.270595533241580366e-01,-9.777219352860038626e+00
1.021047274219129219e+00,8.264279069867599414e-01,-9.794302114488496969e+00
9.959516438164232044e-01,8.338869407708703330e-01,-9.793106503954620123e+00
9.863532087281596805e-01,8.004765757900283996e-01,-9.815782159941127460e+00
1.017828619592294759e+00,8.129912286087401796e-01,-9.793664815570613413e+00
9.889363957207419897e-01,8.124907398008639481e-01,-9.784441454006689298e+00
1.018150117547466538e+00,8.263872610664794172e-01,-9.808699860530856185e+00
1.015568117428139905e+00,8.009972353347268870e-01,-9.774993098270387648e+00
9.939856924258760884e-01,8.109937079982904029e-01,-9.789730117817711630e+00
9.918074624312468446e-01,8.184020669184527419e-01,-9.786442782078696112e+00
9.986818836064113025e-01,8.071589542020294328e-01,-9.799432262151769990e+00
1.002530786773985882e+00,8.119297293547110828e-01,-9.779814342430608320e+00
1.004753310461264926e+00,8.102681770133601802e-01,-9.803042697462478472e+00
1.004339988340164469e+00,7.892794027879890262e-01,-9.796622897804478924e+00
9.983590431829002521e-01,8.007165014959032323e-01,-9.806089364157763555e+00
1.003522274664953029e+00,8.010537040935250541e-01,-9.809142078166001255e+00
1.010235251552810798e+00,8.019938856571605656e-01,-9.799727260739160783e+00
1.007710700174456742e+00,7.929822545979136050e-01,-9.788213927353304200e+00
9.866547947488311099e-01,7.914083065559107677e-01,-9.804811221234421836e+00
1.013515406624269088e+00,8.052040443364556488e-01,-9.793495108709597829e+00
9.988843185100433342e-01,8.002626350307353587e-01,-9.799943054789933328e+00
1.011368620040466126e+00,8.077072551658365240e-01,-9.791809627052730391e+00
9.952029252831824380e-01,7.973650125663105381e-01,-9.802076991809499873e+00
1.008750702373409025e+00,7.925470517459155539e-01,-9.783563565731485667e+00
9.915109050160201276e-01,7.935830259038406664e-01,-9.802526497135691130e+00
9.973095506998723714e-01,7.740849258799409327e-01,-9.810240787213421854e+00
9.698314400665052348e-01,7.844476481115157940e-01,-9.799243802649463930e+00
1.002891941215498406e+00,7.867838128469721859e-01,-9.801817057526099219e+00
9.934156409128299670e-01,7.908648503789377227e-01,-9.798032694682520471e+00
1.000021828132305668e+00,8.010012662559891083e-01,-9.794925103845228520e+00
9.865857739956540584e-01,8.023924729806147793e-01,-9.809662550005070258e+00
9.932224879638631432e-01,7.922486222602448391e-01,-9.786852644811343538e+00
1.008400248838920099e+00,7.838512300402353805e-01,-9.801797683408986828e+00
9.838654248498616139e-01,7.806139319256520936e-01,-9.802879434745637610e+00
1.001370648195190949e+00,7.700355744001013969e-01,-9.805085914381164613e+00
1.007558525995614129e+00,7.810987690837623010e-01,-9.773693021153317062e+00
9.924991349108512884e-01,7.862092315917933449e-01,-9.798208168210924995e+00
1.010757213590417258e+00,7.635057855528967208e-01,-9.778876781283761588e+00
9.866812781605160954e-01,7.927709054729641380e-01,-9.794545325193025676e+00
