mag_x (uT),mag_y (uT),mag_z (uT)
1.253338271930877745e+01,-3.039116522183294578e+01,3.783102136314435171e+01
1.258381396556563026e+01,-3.018755458009043124e+01,3.763663864913479529e+01
1.232617433554064235e+01,-3.016257973591585184e+01,3.765953121135653703e+01
1.240746320586270102e+01,-3.025341459962583457e+01,3.751215007860390216e+01
1.233723240167795332e+01,-3.035865872930918030e+01,3.766464628261626757e+01
1.225193190198710269e+01,-3.031307262827477800e+01,3.759167122579876974e+01
1.215620112247416884e+01,-3.035573106731110471e+01,3.762903104585920744e+01
1.204594341495943510e+01,-3.032869439043681226e+01,3.769351773357423951e+01
1.196031022011977640e+01,-3.052010467730105603e+01,3.766128852218368905e+01
1.198682404867770224e+01,-3.037964884661908727e+01,3.772828151913815020e+01
1.185426252885891962e+01,-3.048436108534125211e+01,3.763385644718932355e+01
1.177017722514536224e+01,-3.057524500485454055e+01,3.770170802220652462e+01
1.180319025110980746e+01,-3.071577728348779246e+01,3.776710272114588918e+01
1.164214104769989611e+01,-3.043845226233236545e+01,3.754587499626655500e+01
1.149243236345014907e+01,-3.067708480702219731e+01,3.767546830731325258e+01
1.141193237323584597e+01,-3.075244090250334850e+01,3.760819342092317896e+01
1.150315660415651209e+01,-3.074769252658005669e+01,3.761818751921897075e+01
1.123395198998253086e+01,-3.062316923098213906e+01,3.757617945476759047e+01
1.131102201998427148e+01,-3.075808179296334188e+01,3.777558632374788061e+01
1.119996749831055638e+01,-3.095778817299346031e+01,3.767928087363311818e+01
1.101716762499911084e+01,-3.075501055819647434e+01,3.766703203767404062e+01
1.101471217338800024e+01,-3.090893340562681146e+01,3.753504202649737920e+01
1.080837098363704563e+01,-3.075608152601752110e+01,3.760898438526734822e+01
1.084114478538110049e+01,-3.085437207822925743e+01,3.763499401554553003e+01
1.078601926276211742e+01,-3.114854212412016921e+01,3.773224459170798184e+01
1.061893667182712342e+01,-3.077412494780826790e+01,3.776577024354902079e+01
1.066164773192446624e+01,-3.076643202099868546e+01,3.756933671805051489e+01
1.060911227156688419e+01,-3.118990545675838533e+01,3.771219686821729056e+01
1.046332122946957810e+01,-3.099485130201755467e+01,3.773430671016057403e+01
1.043374432247313166e+01,-3.100227887696130935e+01,3.761964213643846477e+01
1.044229479564858210e+01,-3.100326071439846842e+01,3.777830091851819105e+01
1.047109374140399396e+01,-3.095568297479574937e+01,3.789521353429883987e+01
1.007874506695837624e+01,-3.114926328530176036e+01,3.766408594961638556e+01
1.019819680563349173e+01,-3.113925208252987531e+01,3.772145429504328717e+01
9.918345238159584909e+00,-3.094528357950110120e+01,3.774248959711587759e+01
9.992088103962995405e+00,-3.115833697959524073e+01,3.762589688736093763e+01
9.939448114279818114e+00,-3.119835240665427278e+01,3.760822420164501523e+01
9.744001158942419138e+00,-3.116455104451325653e+01,3.778152545915359184e+01
9.832037987538662094e+00,-3.101843053607770173e+01,3.768203797840257607e+01
9.785232603048571676e+00,-3.128582443647692912e+01,3.770823284249978968e+01
9.776180064391949642e+00,-3.120545880092437230e+01,3.752762884302724444e+01
9.711066191575820739e+00,-3.108803270148708009e+01,3.777937011572172565e+01
9.527599999081308724e+00,-3.132449878145868283e+01,3.765285630020592578e+01
9.329239947649300646e+00,-3.126799139905653035e+01,3.774407483154534759e+01
9.515241613198263337e+00,-3.143850894192747703e+01,3.769748166759686114e+01
9.225092342180456484e+00,-3.153553118485826090e+01,3.750581451969538449e+01
9.313835209122222736e+00,-3.148781415752321777e+01,3.770860073459877526e+01
9.420424975641113363e+00,-3.121282462480170139e+01,3.779784743513585710e+01
9.048119414734989263e+00,-3.151127197859574025e+01,3.789065390768915620e+01
9.195256320545269091e+00,-3.158780800018663726e+01,3.772204223290032132e+01
8.977769395944267927e+00,-3.150764444913364670e+01,3.765940624541168802e+01
9.044109430038846043e+00,-3.147067453783276392e+01,3.766482804079080182e+01
8.964330379320294639e+00,-3.147237692359338368e+01,3.761414586229327028e+01
9.065570158135605183e+00,-3.154853363979304248e+01,3.770522513122012498e+01
8.910539728784543811e+00,-3.143548204049096739e+01,3.771112245763502813e+01
8.770369141627295306e+00,-3.152662259316374360e+01,3.774139885237755720e+01
8.717634274262666239e+00,-3.146621277039225006e+01,3.761000274180495495e+01
8.609784896970568369e+00,-3.158812031956679789e+01,3.766552207902658722e+01
8.497340684082068663e+00,-3.155535298339693284e+01,3.757378815248552684e+01
8.421740152615717179e+00,-3.155018195661117275e+01,3.754989974919578799e+01
8.436675920390246830e+00,-3.160856123175355847e+01,3.757606621178776152e+01
8.406842609868602878e+00,-3.165999717060410035e+01,3.769376927171038716e+01
8.089549162190589726e+00,-3.163054096821234751e+01,3.760408669039090768e+01
8.223602069047020180e+00,-3.152798813682384704e+01,3.780188843456810588e+01
8.257961964587781978e+00,-3.157242110465416829e+01,3.767405503984940651e+01
8.104475870665758919e+00,-3.184562970013315919e+01,3.779177718648498541e+01
8.133043866992661464e+00,-3.178826133397986808e+01,3.764358999933762107e+01
7.803534667013833470e+00,-3.184036658289726418e+01,3.752932780911311283e+01
7.773041552759690553e+00,-3.180287104980747515e+01,3.766228236464038304e+01
7.626115396372107114e+00,-3.172748836461182620e+01,3.769117260895147581e+01
7.903002562245178275e+00,-3.185057034238333529e+01,3.756340969465775004e+01
7.845129433428807531e+00,-3.184649521301226827e+01,3.758394440970339900e+01
7.585060830050313285e+00,-3.172197467438655849e+01,3.763900413276055446e+01
7.676266189845997623e+00,-3.200852429227372653e+01,3.772870852042149892e+01
7.506448974403435059e+00,-3.186791244387264044e+01,3.762775155130650262e+01
7.483759557830961917e+00,-3.178726207007934690e+01,3.774071943922479022e+01
7.474851320998976867e+00,-3.180567777474207602e+01,3.758263086085044336e+01
7.239705547924661033e+00,-3.172203975083454353e+01,3.780153149962048786e+01
7.432056569979994087e+00,-3.177814224205090810e+01,3.762529101745630555e+01
7.225847493768671193e+00,-3.180910387869134226e+01,3.772784010326289206e+01
7.183860615004632244e+00,-3.207097602439890949e+01,3.770379066627334907e+01
7.187595066420401579e+00,-3.193564874866140713e+01,3.777331942625131944e+01
7.085645215898923155e+00,-3.208282108317831671e+01,3.769105946371205818e+01
7.147727682008699013e+00,-3.194978597476910664e+01,3.767453777790545644e+01
6.936071567712652097e+00,-3.199806510548161143e+01,3.765017584007053841e+01
6.900510935453269212e+00,-3.187403669353061986e+01,3.762442734438987202e+01
6.971823746350225726e+00,-3.200995358992306450e+01,3.780859124364767609e+01
6.792454007352628942e+00,-3.198294492310474979e+01,3.771750968459382136e+01
