ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200002992094884036e+01,1.200000336202567581e+02,0.000000000000000000e+00
3.200003004137542462e+01,1.200000339174969923e+02,0.000000000000000000e+00
3.200003016159691782e+01,1.200000342160224278e+02,0.000000000000000000e+00
3.200003028161196994e+01,1.200000345158318993e+02,0.000000000000000000e+00
3.200003040141930910e+01,1.200000348169241136e+02,0.000000000000000000e+00
3.200003052101762080e+01,1.200000351192978485e+02,0.000000000000000000e+00
3.200003064040564738e+01,1.200000354229518962e+02,0.000000000000000000e+00
3.200003075958215248e+01,1.200000357278850061e+02,0.000000000000000000e+00
3.200003087854590689e+01,1.200000360340959276e+02,0.000000000000000000e+00
3.200003099729568845e+01,1.200000363415834812e+02,0.000000000000000000e+00
3.200003111583033188e+01,1.200000366503464164e+02,0.000000000000000000e+00
3.200003123414866479e+01,1.200000369603834827e+02,0.000000000000000000e+00
3.200003135224952899e+01,1.200000372716934720e+02,0.000000000000000000e+00
3.200003147013181604e+01,1.200000375842751623e+02,0.000000000000000000e+00
3.200003158779440326e+01,1.200000378981273599e+02,0.000000000000000000e+00
3.200003170523618934e+01,1.200000382132487715e+02,0.000000000000000000e+00
3.200003182245612265e+01,1.200000385296382746e+02,0.000000000000000000e+00
3.200003193945314450e+01,1.200000388472945616e+02,0.000000000000000000e+00
3.200003205622621749e+01,1.200000391662164958e+02,0.000000000000000000e+00
3.200003217277431844e+01,1.200000394864028266e+02,0.000000000000000000e+00
3.200003228909645969e+01,1.200000398078523602e+02,0.000000000000000000e+00
3.200003240519165360e+01,1.200000401305638746e+02,0.000000000000000000e+00
3.200003252105894092e+01,1.200000404545361761e+02,0.000000000000000000e+00
3.200003263669736242e+01,1.200000407797680708e+02,0.000000000000000000e+00
3.200003275210600151e+01,1.200000411062583368e+02,0.000000000000000000e+00
3.200003286728394158e+01,1.200000414340058228e+02,0.000000000000000000e+00
3.200003298223028736e+01,1.200000417630092926e+02,0.000000000000000000e+00
3.200003309694417908e+01,1.200000420932675809e+02,0.000000000000000000e+00
3.200003321142472146e+01,1.200000424247794939e+02,0.000000000000000000e+00
3.200003332567109737e+01,1.200000427575438522e+02,0.000000000000000000e+00
3.200003343968246838e+01,1.200000430915594478e+02,0.000000000000000000e+00
3.200003355345802447e+01,1.200000434268251581e+02,0.000000000000000000e+00
3.200003366699696983e+01,1.200000437633397752e+02,0.000000000000000000e+00
3.200003378029852286e+01,1.200000441011021337e+02,0.000000000000000000e+00
3.200003389336192328e+01,1.200000444401110684e+02,0.000000000000000000e+00
3.200003400618642502e+01,1.200000447803654140e+02,0.000000000000000000e+00
3.200003411877128201e+01,1.200000451218640052e+02,0.000000000000000000e+00
3.200003423111579082e+01,1.200000454646057051e+02,0.000000000000000000e+00
3.200003434321924800e+01,1.200000458085893342e+02,0.000000000000000000e+00
3.200003445508095723e+01,1.200000461538137557e+02,0.000000000000000000e+00
3.200003456670025770e+01,1.200000465002778185e+02,0.000000000000000000e+00
3.200003467807648150e+01,1.200000468479803999e+02,0.000000000000000000e+00
3.200003478920898914e+01,1.200000471969203488e+02,0.000000000000000000e+00
3.200003490009715534e+01,1.200000475470965426e+02,0.000000000000000000e+00
3.200003501074036905e+01,1.200000478985078445e+02,0.000000000000000000e+00
3.200003512113801918e+01,1.200000482511531175e+02,0.000000000000000000e+00
3.200003523128953731e+01,1.200000486050312389e+02,0.000000000000000000e+00
3.200003534119434079e+01,1.200000489601411147e+02,0.000000000000000000e+00
3.200003545085186829e+01,1.200000493164816078e+02,0.000000000000000000e+00
3.200003556026157980e+01,1.200000496740516525e+02,0.000000000000000000e+00
3.200003566942294952e+01,1.200000500328500834e+02,0.000000000000000000e+00
3.200003577833545876e+01,1.200000503928758206e+02,0.000000000000000000e+00
3.200003588699860302e+01,1.200000507541277699e+02,0.000000000000000000e+00
3.200003599541189203e+01,1.200000511166048511e+02,0.000000000000000000e+00
3.200003610357484263e+01,1.200000514803059559e+02,0.000000000000000000e+00
3.200003621148700006e+01,1.200000518452300327e+02,0.000000000000000000e+00
3.200003631914790247e+01,1.200000522113759445e+02,0.000000000000000000e+00
3.200003642655711644e+01,1.200000525787426824e+02,0.000000000000000000e+00
3.200003653371422274e+01,1.200000529473291238e+02,0.000000000000000000e+00
3.200003664061878794e+01,1.200000533171342170e+02,0.000000000000000000e+00
3.200003674727042835e+01,1.200000536881569388e+02,0.000000000000000000e+00
3.200003685366874606e+01,1.200000540603961667e+02,0.000000000000000000e+00
3.200003695981336449e+01,1.200000544338508917e+02,0.000000000000000000e+00
3.200003706570392126e+01,1.200000548085200478e+02,0.000000000000000000e+00
3.200003717134005399e+01,1.200000551844026120e+02,0.000000000000000000e+00
3.200003727672142873e+01,1.200000555614975468e+02,0.000000000000000000e+00
3.200003738184771152e+01,1.200000559398037581e+02,0.000000000000000000e+00
3.200003748671858261e+01,1.200000563193202936e+02,0.000000000000000000e+00
3.200003759133373649e+01,1.200000567000460734e+02,0.000000000000000000e+00
3.200003769569287471e+01,1.200000570819801027e+02,0.000000000000000000e+00
3.200003779979570595e+01,1.200000574651213725e+02,0.000000000000000000e+00
3.200003790364196021e+01,1.200000578494688455e+02,0.000000000000000000e+00
