ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.444082646795180835e+00,1.633102969572039376e+00,0.000000000000000000e+00
1.444460959379637810e+00,1.646096150541651815e+00,0.000000000000000000e+00
1.444794367675510172e+00,1.659086867868319048e+00,0.000000000000000000e+00
1.445083281465437963e+00,1.672074851682504137e+00,0.000000000000000000e+00
1.445328109283705365e+00,1.685059837665824567e+00,0.000000000000000000e+00
1.445529258377036941e+00,1.698041566975295735e+00,0.000000000000000000e+00
1.445687134666502560e+00,1.711019786168395118e+00,0.000000000000000000e+00
1.445802142710526983e+00,1.723994247128925572e+00,0.000000000000000000e+00
1.445874685668989024e+00,1.736964706993663787e+00,0.000000000000000000e+00
1.445905165268397186e+00,1.749930928079776793e+00,0.000000000000000000e+00
1.445893981768133107e+00,1.762892677812995190e+00,0.000000000000000000e+00
1.445841533927741063e+00,1.775849728656525350e+00,0.000000000000000000e+00
1.445748218975259958e+00,1.788801858040694359e+00,0.000000000000000000e+00
1.445614432576573627e+00,1.801748848293315053e+00,0.000000000000000000e+00
1.445440568805769876e+00,1.814690486570761374e+00,0.000000000000000000e+00
1.445227020116494510e+00,1.827626564789746944e+00,0.000000000000000000e+00
1.444974177314277242e+00,1.840556879559797965e+00,0.000000000000000000e+00
1.444682429529824397e+00,1.853481232116412691e+00,0.000000000000000000e+00
1.444352164193253518e+00,1.866399428254904569e+00,0.000000000000000000e+00
1.443983767009261010e+00,1.879311278264916174e+00,0.000000000000000000e+00
1.443577621933199273e+00,1.892216596865606393e+00,0.000000000000000000e+00
1.443134111148056009e+00,1.905115203141499292e+00,0.000000000000000000e+00
1.442653615042312376e+00,1.918006920478993793e+00,0.000000000000000000e+00
1.442136512188667119e+00,1.930891576503525719e+00,0.000000000000000000e+00
1.441583179323611796e+00,1.943769003017382868e+00,0.000000000000000000e+00
1.440993991327835788e+00,1.956639035938166016e+00,0.000000000000000000e+00
1.440369321207453535e+00,1.969501515237888967e+00,0.000000000000000000e+00
1.439709540076029803e+00,1.982356284882721642e+00,0.000000000000000000e+00
1.439015017137390551e+00,1.995203192773365997e+00,0.000000000000000000e+00
1.438286119669206942e+00,2.008042090686062320e+00,0.000000000000000000e+00
1.437523213007329881e+00,2.020872834214225922e+00,0.000000000000000000e+00
1.436726660530865063e+00,2.033695282710707097e+00,0.000000000000000000e+00
1.435896823647972997e+00,2.046509299230671708e+00,0.000000000000000000e+00
1.435034061782375137e+00,2.059314750475101707e+00,0.000000000000000000e+00
1.434138732360554780e+00,2.072111506734908293e+00,0.000000000000000000e+00
1.433211190799636103e+00,2.084899441835657896e+00,0.000000000000000000e+00
1.432251790495925992e+00,2.097678433082907468e+00,0.000000000000000000e+00
1.431260882814106905e+00,2.110448361208141499e+00,0.000000000000000000e+00
1.430238817077064795e+00,2.123209110315313453e+00,0.000000000000000000e+00
1.429185940556334966e+00,2.135960567827984935e+00,0.000000000000000000e+00
1.428102598463159234e+00,2.148702624437061282e+00,0.000000000000000000e+00
1.426989133940131937e+00,2.161435174049116448e+00,0.000000000000000000e+00
1.425845888053428823e+00,2.174158113735307651e+00,0.000000000000000000e+00
1.424673199785599698e+00,2.186871343680875768e+00,0.000000000000000000e+00
1.423471406028916642e+00,2.199574767135228814e+00,0.000000000000000000e+00
1.422240841579259341e+00,2.212268290362599199e+00,0.000000000000000000e+00
1.420981839130530000e+00,2.224951822593278727e+00,0.000000000000000000e+00
1.419694729269582067e+00,2.237625275975426042e+00,0.000000000000000000e+00
1.418379840471651443e+00,2.250288565527440277e+00,0.000000000000000000e+00
1.417037499096278408e+00,2.262941609090896478e+00,0.000000000000000000e+00
1.415668029383705395e+00,2.275584327284046360e+00,0.000000000000000000e+00
1.414271753451745717e+00,2.288216643455871058e+00,0.000000000000000000e+00
1.412848991293103040e+00,2.300838483640689436e+00,0.000000000000000000e+00
1.411400060773134957e+00,2.313449776513317069e+00,0.000000000000000000e+00
1.409925277628051754e+00,2.326050453344764346e+00,0.000000000000000000e+00
1.408424955463533301e+00,2.338640447958486135e+00,0.000000000000000000e+00
1.406899405753757604e+00,2.351219696687156802e+00,0.000000000000000000e+00
1.405348937840830814e+00,2.363788138329991462e+00,0.000000000000000000e+00
1.403773858934604712e+00,2.376345714110589036e+00,0.000000000000000000e+00
1.402174474112873659e+00,2.388892367635302882e+00,0.000000000000000000e+00
1.400551086321941696e+00,2.401428044852134125e+00,0.000000000000000000e+00
1.398903996377552028e+00,2.413952694010143230e+00,0.000000000000000000e+00
1.397233502966158225e+00,2.426466265619374063e+00,0.000000000000000000e+00
1.395539902646545594e+00,2.438968712411289097e+00,0.000000000000000000e+00
1.393823489851775621e+00,2.451459989299708209e+00,0.000000000000000000e+00
1.392084556891458158e+00,2.463940053342251968e+00,0.000000000000000000e+00
1.390323393954332465e+00,2.476408863702279195e+00,0.000000000000000000e+00
1.388540289111154902e+00,2.488866381611317902e+00,0.000000000000000000e+00
1.386735528317880828e+00,2.501312570331990948e+00,0.000000000000000000e+00
1.384909395419136713e+00,2.513747395121415540e+00,0.000000000000000000e+00
1.383062172151965807e+00,2.526170823195095227e+00,0.000000000000000000e+00
1.381194138149848927e+00,2.538582823691280410e+00,0.000000000000000000e+00
1.379305570946987025e+00,2.550983367635803134e+00,0.000000000000000000e+00
1.377396745982840232e+00,2.563372427907380402e+00,0.000000000000000000e+00
1.375467936606908692e+00,2.575749979203382445e+00,0.000000000000000000e+00
1.373519414083761880e+00,2.588115998006057517e+00,0.000000000000000000e+00
1.371551447598293949e+00,2.600470462549212325e+00,0.000000000000000000e+00
1.369564304261207566e+00,2.612813352785346321e+00,0.000000000000000000e+00
1.367558249114714464e+00,2.625144650353230080e+00,0.000000000000000000e+00
1.365533545138451377e+00,2.637464338545925546e+00,0.000000000000000000e+00
1.363490453255594481e+00,2.649772402279248151e+00,0.000000000000000000e+00
1.361429232339178341e+00,2.662068828060656589e+00,0.000000000000000000e+00
1.359350139218602482e+00,2.674353603958580461e+00,0.000000000000000000e+00
1.357253428686325814e+00,2.686626719572164923e+00,0.000000000000000000e+00
1.355139353504739352e+00,2.698888166001443434e+00,0.000000000000000000e+00
1.353008164413211256e+00,2.711137935817922617e+00,0.000000000000000000e+00
1.350860110135302383e+00,2.723376023035583682e+00,0.000000000000000000e+00
1.348695437386138618e+00,2.735602423082287515e+00,0.000000000000000000e+00
1.346514390879942624e+00,2.747817132771591009e+00,0.000000000000000000e+00
1.344317213337715256e+00,2.760020150274955508e+00,0.000000000000000000e+00
1.342104145495059520e+00,2.772211475094358946e+00,0.000000000000000000e+00
1.339875426110148648e+00,2.784391108035293882e+00,0.000000000000000000e+00
1.337631291971822289e+00,2.796559051180156352e+00,0.000000000000000000e+00
1.335371977907817032e+00,2.808715307862017063e+00,0.000000000000000000e+00
1.333097716793119947e+00,2.820859882638772742e+00,0.000000000000000000e+00
1.330808739558440479e+00,2.832992781267670956e+00,0.000000000000000000e+00
1.328505275198795355e+00,2.845114010680209748e+00,0.000000000000000000e+00
1.326187550782209179e+00,2.857223578957400978e+00,0.000000000000000000e+00
1.323855791458514508e+00,2.869321495305397374e+00,0.000000000000000000e+00
1.321510220468256058e+00,2.881407770031481075e+00,0.000000000000000000e+00
1.319151059151690619e+00,2.893482414520403001e+00,0.000000000000000000e+00
1.316778526957879558e+00,2.905545441211078828e+00,0.000000000000000000e+00
1.314392841453871474e+00,2.917596863573626464e+00,0.000000000000000000e+00
1.311994218333963902e+00,2.929636696086751257e+00,0.000000000000000000e+00
1.309582871429052719e+00,2.941664954215466032e+00,0.000000000000000000e+00
