gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200007088886146533e+01,1.200005229525014130e+02,-2.441831058644464036e+00,-4.176175123151446358e-04,4.006009786137987305e+00,-2.751546681613438461e-02
3.200005813491912221e+01,1.200004966601894552e+02,3.147446749581931158e+00,-7.865173937948666261e-03,3.959551581750396565e+00,-6.872787914400724403e-03
3.200006618904141931e+01,1.200005150744255502e+02,-4.391251162017071330e+00,2.391025272743949742e-02,3.948130312129090491e+00,-4.749588564996118367e-02
3.200013323926824427e+01,1.200005329950100759e+02,-5.069014725660194287e+00,-3.085243993738373373e-03,3.940211437514082871e+00,7.856556027104399931e-02
3.199999742555677429e+01,1.200005599990265068e+02,7.559110368619540665e+00,2.996839397620927777e-03,4.019138968866654338e+00,2.245881945730410570e-02
3.200013303078819149e+01,1.200005324771739907e+02,-1.232754098359964523e+00,-2.623914200606300082e-02,3.975720255333556441e+00,-6.336059089318397952e-02
3.200016820950249752e+01,1.200004855889825421e+02,-3.299796359729343820e+00,4.271848760783151372e-02,4.030894549365837243e+00,4.421065780985755644e-02
3.200009373683194269e+01,1.200005566133825852e+02,5.234985527069659028e+00,-4.441767638657901501e-02,4.046038525077370274e+00,-2.915099502245974139e-02
3.200011934270152381e+01,1.200005276889111627e+02,3.239178969264105312e+00,1.259934806033162491e-02,3.983285338933971076e+00,-4.408768243438162399e-03
3.200005050896391623e+01,1.200006014546484892e+02,2.303326461797434277e+00,6.225209015924614703e-02,3.992860363492921838e+00,4.979111102233023389e-02
3.200006962476707884e+01,1.200005374184612492e+02,-6.778790476997017755e+00,-6.583983140784396837e-02,4.037616494684687751e+00,3.291193274034780181e-02
3.200004134928867927e+01,1.200006593202692073e+02,1.424165765071951206e+01,-1.353087015406212457e-01,4.036758495993892915e+00,2.150862467120651447e-02
3.200005580790845983e+01,1.200004470410083144e+02,3.743102912287525452e+00,8.273601153879975301e-02,3.961120708511198352e+00,2.006726230829085356e-02
3.199989520204205817e+01,1.200006042181085633e+02,5.613177809558487219e+00,-1.333628614063305795e-01,3.918601150822206947e+00,1.479896061548108266e-02
3.200008424296441945e+01,1.200005826695708038e+02,1.779503513567119555e+00,-3.341468094137680939e-03,3.968102668097173158e+00,-2.658373348315018134e-02
